id,inquiry_id,supplier_id,created_at,updated_at
290,734,1930,2022-09-05 12:44:33,2022-09-05 12:44:33
291,734,1919,2022-09-05 12:44:45,2022-09-05 12:44:45
292,795,1996,2022-09-09 14:03:42,2022-09-09 14:03:42
293,797,1962,2022-09-14 14:39:52,2022-09-14 14:39:52
294,794,1920,2022-09-20 12:29:21,2022-09-20 12:29:21
295,792,386,2022-09-22 14:33:02,2022-09-22 14:33:02
296,780,1962,2022-09-26 11:28:11,2022-09-26 11:28:11
297,780,293,2022-09-28 09:51:14,2022-09-28 09:51:14
298,644,1962,2022-09-28 11:42:23,2022-09-28 11:42:23
299,800,1962,2022-09-28 15:55:53,2022-09-28 15:55:53
300,800,293,2022-09-28 15:56:00,2022-09-28 15:56:00
301,636,1985,2022-10-27 07:11:25,2022-10-27 07:11:25
302,757,2032,2022-11-25 19:08:03,2022-11-25 19:08:03
303,821,1962,2022-12-01 06:33:25,2022-12-01 06:33:25
304,640,2035,2022-12-05 13:36:54,2022-12-05 13:36:54
305,794,2035,2022-12-05 13:38:13,2022-12-05 13:38:13
307,817,1996,2022-12-12 15:04:30,2022-12-12 15:04:30
308,817,1939,2022-12-12 15:07:59,2022-12-12 15:07:59
309,817,1842,2022-12-12 15:16:34,2022-12-12 15:16:34
310,804,2039,2022-12-13 17:24:39,2022-12-13 17:24:39
311,804,2038,2022-12-13 17:24:52,2022-12-13 17:24:52
312,810,2039,2022-12-13 19:10:46,2022-12-13 19:10:46
313,810,2038,2022-12-13 19:11:01,2022-12-13 19:11:01
314,805,2039,2022-12-13 19:16:06,2022-12-13 19:16:06
315,805,2038,2022-12-13 19:16:19,2022-12-13 19:16:19
316,807,2039,2022-12-13 19:21:49,2022-12-13 19:21:49
317,807,2038,2022-12-13 19:21:58,2022-12-13 19:21:58
318,809,2038,2022-12-13 19:23:42,2022-12-13 19:23:42
319,809,2039,2022-12-13 19:23:50,2022-12-13 19:23:50
320,808,2039,2022-12-13 19:25:30,2022-12-13 19:25:30
321,808,2038,2022-12-13 19:25:41,2022-12-13 19:25:41
322,823,2039,2022-12-13 19:29:30,2022-12-13 19:29:30
323,823,2038,2022-12-13 19:29:39,2022-12-13 19:29:39
324,822,2039,2022-12-13 19:37:40,2022-12-13 19:37:40
325,822,2038,2022-12-13 19:37:47,2022-12-13 19:37:47
327,840,1996,2023-01-13 13:41:55,2023-01-13 13:41:55
328,843,1840,,
329,843,1927,,
330,844,1840,,
331,844,1927,,
